statement,label,mapped
"By spring 2014, parents of 60,000 students in New York state had refused to let them take the Common Core Tests.",mostly-true,real
Were the worst state in the country at moving people from welfare to work.,false,fake
Says an EPA permit languished under Strickland but his new EPA director got it done in two days.,barely-true,fake
Bill Richardson is the only major Democratic candidate with a plan to withdraw all American troops from Iraq. All of the other major Democratic candidates support leaving American troops in Iraq indefinitely.,mostly-true,real
At least a quarter of those apprehended at the border have criminal records.,false,fake
"Between June 30 and July 10, CNN interviewed 17 Israeli public officials versus onePalestinian official.",half-true,real
Del. Ben Chafin took money away from Southwest Virginia schools while votingto build a politicians palace.,false,fake
Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.,barely-true,fake
"Says that, unlike the U.S. Senate, even the Libyan government, in the middle of a civil war, passed a budget on June 15, 2011",half-true,real
"Just like the U.S. Chamber of Commerce, the AFL-CIO receives dues from foreign entities associated with it.",half-true,real
The New York Times had to retract its story that Hillary Clintons email handling had broken certain laws.,false,fake
Most of the people who have signed up through the Obamacare exchanges already had insurance.,barely-true,fake
"In the past four years, (the U.S. Senate) has only passed nine out of 48 appropriation bills.",mostly-true,real
Says Bill Nelson voted to cut $700 billion out of Medicare to pay for Obamacare.,barely-true,fake
"Since President Obama took office, over 88,000 Ohio workers have lost their jobs.",half-true,real
(GM and Chrysler) repaid their loans.,half-true,real
"Romney failed to take action against ""sanctuary cities"" in Massachusetts.",mostly-true,real
53 percent of Americans cut back on their health care in the last year because of costs.,half-true,real
Newt Gingrichs presidential campaign has exactly the same challenges as Ronald Reagans successful 1980 bid.,barely-true,fake
Says my plan is a property tax cut.,half-true,real
